time,gFx,gFy,gFz,TgF
9.709673069,-0.0342,0.0235,1.0014,1.002
9.710086663,-0.0322,0.0240,1.0005,1.001
9.710241038,-0.0322,0.0211,0.9980,0.999
9.714796871,-0.0347,0.0235,0.9966,0.997
9.718885465,-0.0327,0.0240,0.9966,0.997
9.720476767,-0.0332,0.0201,0.9961,0.997
9.72409135,-0.0342,0.0269,0.9946,0.996
9.724343225,-0.0313,0.0235,0.9941,0.995
9.728929944,-0.0269,0.0206,0.9927,0.993
9.729336715,-0.0317,0.0215,0.9951,0.996
9.731368694,-0.0308,0.0240,0.9912,0.992
9.735901194,-0.0308,0.0215,0.9912,0.992
9.739257027,-0.0317,0.0235,0.9971,0.998
9.739492288,-0.0293,0.0235,0.9922,0.993
9.744295986,-0.0308,0.0279,0.9990,1.000
9.744755205,-0.0322,0.0230,0.9946,0.995
9.749137809,-0.0298,0.0220,0.9966,0.997
9.74939385,-0.0303,0.0235,0.9951,0.996
9.754215205,-0.0273,0.0230,0.9907,0.991
9.755527965,-0.0342,0.0230,0.9912,0.992
9.76042583,-0.0352,0.0230,0.9936,0.995
9.761414632,-0.0322,0.0230,0.9975,0.998
9.761891819,-0.0327,0.0206,0.9902,0.991
9.764127236,-0.0332,0.0259,0.9927,0.994
9.768979111,-0.0327,0.0220,0.9897,0.991
9.769448746,-0.0342,0.0201,0.9931,0.994
9.774096038,-0.0337,0.0211,0.9946,0.995
9.774318069,-0.0366,0.0215,0.9897,0.991
9.779111871,-0.0371,0.0215,0.9897,0.991
9.779541767,-0.0400,0.0186,0.9941,0.995
9.784359475,-0.0347,0.0206,0.9917,0.992
9.784661923,-0.0356,0.0172,0.9951,0.996
9.790155257,-0.0361,0.0201,0.9936,0.994
9.790524996,-0.0371,0.0186,0.9887,0.990
9.791044371,-0.0400,0.0167,0.9922,0.993
9.796144059,-0.0376,0.0220,0.9917,0.993
9.799979944,-0.0386,0.0230,0.9912,0.992
9.800363746,-0.0396,0.0191,0.9931,0.994
9.807895986,-0.0391,0.0240,0.9961,0.997
9.808485361,-0.0386,0.0235,0.9946,0.996
9.810446559,-0.0381,0.0245,0.9975,0.999
9.810796142,-0.0410,0.0215,0.9985,1.000
9.810969684,-0.0396,0.0201,0.9975,0.999
9.815782496,-0.0361,0.0206,0.9990,1.000
9.820397027,-0.0410,0.0211,0.9990,1.000
9.821177079,-0.0381,0.0240,0.9990,1.000
9.825557288,-0.0347,0.0230,1.0029,1.004
9.826400309,-0.0381,0.0186,1.0039,1.005
9.832394111,-0.0337,0.0206,1.0063,1.007
9.833046142,-0.0347,0.0250,1.0024,1.003
9.83538609,-0.0356,0.0225,1.0102,1.011
9.836411038,-0.0347,0.0235,1.0083,1.009
9.840323225,-0.0342,0.0211,1.0078,1.009
9.840783954,-0.0337,0.0264,1.0073,1.008
9.845867027,-0.0342,0.0220,1.0088,1.010
9.846713954,-0.0322,0.0206,1.0088,1.009
9.847094423,-0.0347,0.0220,1.0068,1.008
9.849400204,-0.0361,0.0259,1.0097,1.011
9.855744579,-0.0347,0.0201,1.0088,1.010
9.856187913,-0.0352,0.0235,1.0078,1.009
9.860508017,-0.0352,0.0201,1.0093,1.010
9.861368277,-0.0347,0.0186,1.0088,1.010
9.865565777,-0.0361,0.0230,1.0039,1.005
9.866019996,-0.0327,0.0235,1.0078,1.009
9.8713276,-0.0332,0.0191,1.0146,1.015
9.87216635,-0.0356,0.0181,1.0078,1.009
9.872388225,-0.0332,0.0215,1.0068,1.008
9.87559734,-0.0308,0.0215,1.0068,1.008
9.880624736,-0.0342,0.0167,1.0034,1.004
9.881404736,-0.0332,0.0220,1.0054,1.006
9.885166871,-0.0342,0.0137,1.0058,1.007
9.885743954,-0.0322,0.0211,1.0029,1.004
9.890998121,-0.0317,0.0220,1.0014,1.002
9.891384632,-0.0337,0.0196,0.9985,0.999
9.89159859,-0.0356,0.0201,1.0014,1.002
9.897840517,-0.0317,0.0167,0.9985,0.999
9.902624788,-0.0322,0.0240,1.0029,1.004
9.903002548,-0.0337,0.0196,0.9985,0.999
9.907466559,-0.0337,0.0201,0.9946,0.995
9.908180465,-0.0371,0.0172,0.9990,1.000
9.911252913,-0.0332,0.0167,0.9946,0.995
9.911737392,-0.0361,0.0225,0.9912,0.992
9.911898069,-0.0342,0.0211,0.9956,0.996
9.915555465,-0.0332,0.0211,0.9971,0.998
9.920387079,-0.0366,0.0196,0.9971,0.998
9.920894007,-0.0371,0.0201,0.9985,0.999
9.92681734,-0.0337,0.0230,0.9951,0.996
9.927510673,-0.0332,0.0206,0.9961,0.997
9.927997288,-0.0352,0.0201,0.9961,0.997
9.931546923,-0.0361,0.0225,0.9971,0.998
9.937123434,-0.0371,0.0225,0.9936,0.995
9.937907809,-0.0361,0.0259,0.9995,1.000
9.941643069,-0.0361,0.0240,0.9995,1.000
9.942137236,-0.0366,0.0274,0.9995,1.001
9.946034163,-0.0361,0.0250,0.9961,0.997
9.946735673,-0.0332,0.0225,0.9936,0.994
9.947036194,-0.0391,0.0220,1.0005,1.001
9.949972809,-0.0381,0.0255,0.9975,0.999
9.955973329,-0.0366,0.0255,1.0014,1.002
9.956832027,-0.0356,0.0279,0.9985,1.000
9.960898225,-0.0366,0.0255,1.0029,1.004
9.962308069,-0.0361,0.0245,1.0010,1.002
9.965541871,-0.0396,0.0240,1.0019,1.003
9.966216038,-0.0371,0.0235,1.0005,1.001
9.96665885,-0.0381,0.0250,0.9985,1.000
9.970622288,-0.0332,0.0235,1.0005,1.001
9.975215725,-0.0400,0.0245,1.0039,1.005
9.975581038,-0.0356,0.0284,1.0014,1.002
9.98107635,-0.0371,0.0259,1.0000,1.001
9.982542913,-0.0347,0.0264,1.0024,1.003
9.986540309,-0.0356,0.0284,1.0029,1.004
9.987621767,-0.0376,0.0269,1.0010,1.002
9.98846359,-0.0356,0.0269,1.0034,1.004
9.990688954,-0.0366,0.0250,0.9985,0.999
9.999144163,-0.0361,0.0264,1.0049,1.006
9.999828538,-0.0371,0.0250,1.0005,1.001
10.000493902,-0.0371,0.0255,0.9990,1.000
10.008695361,-0.0371,0.0264,1.0058,1.007
10.009173382,-0.0347,0.0274,1.0014,1.002
10.009370569,-0.0337,0.0323,1.0054,1.006
10.009518277,-0.0361,0.0274,0.9985,1.000
10.010584163,-0.0356,0.0240,1.0019,1.003
10.016620413,-0.0381,0.0255,1.0014,1.002
10.016928798,-0.0317,0.0264,0.9961,0.997
10.021234788,-0.0347,0.0284,1.0010,1.002
10.022078642,-0.0317,0.0245,0.9975,0.998
10.022416975,-0.0337,0.0294,0.9980,0.999
10.026479944,-0.0356,0.0279,1.0019,1.003
10.03224859,-0.0303,0.0255,0.9971,0.998
10.032829892,-0.0332,0.0269,0.9980,0.999
10.033004215,-0.0352,0.0298,0.9951,0.996
10.039029475,-0.0376,0.0279,1.0010,1.002
10.040283329,-0.0303,0.0303,0.9917,0.993
10.040461663,-0.0317,0.0279,0.9941,0.995
10.046084579,-0.0317,0.0298,0.9951,0.996
10.046662392,-0.0352,0.0269,0.9927,0.994
10.051107861,-0.0303,0.0240,0.9931,0.994
10.051847184,-0.0352,0.0245,0.9975,0.998
10.05246359,-0.0347,0.0298,0.9961,0.997
10.056066038,-0.0337,0.0274,0.9980,0.999
10.061866246,-0.0347,0.0274,0.9971,0.998
10.062652809,-0.0337,0.0259,0.9927,0.994
10.066816246,-0.0347,0.0245,0.9980,0.999
10.06726234,-0.0356,0.0294,0.9961,0.997
10.072012965,-0.0347,0.0308,0.9961,0.997
10.072503225,-0.0356,0.0264,0.9966,0.998
10.072651819,-0.0317,0.0264,0.9985,0.999
10.077168486,-0.0381,0.0240,0.9941,0.995
10.082479475,-0.0347,0.0264,0.9941,0.995
10.082838225,-0.0327,0.0250,0.9971,0.998
10.086344631,-0.0327,0.0250,1.0000,1.001
10.087116194,-0.0366,0.0264,0.9927,0.994
10.09223484,-0.0327,0.0298,0.9990,1.000
10.092723538,-0.0327,0.0303,0.9995,1.000
10.093006402,-0.0361,0.0269,0.9956,0.997
10.096079944,-0.0361,0.0269,0.9990,1.000
10.109939475,-0.0327,0.0269,0.9980,0.999
10.111110361,-0.0332,0.0255,0.9951,0.996
10.111928277,-0.0376,0.0235,0.9985,0.999
10.112439736,-0.0356,0.0259,0.9975,0.999
10.112909163,-0.0313,0.0235,0.9951,0.996
10.113309371,-0.0308,0.0240,0.9980,0.999
10.117898434,-0.0332,0.0259,0.9956,0.996
10.118147809,-0.0327,0.0240,1.0010,1.002
10.121980673,-0.0308,0.0279,0.9980,0.999
10.122468225,-0.0317,0.0225,0.9995,1.000
10.122647548,-0.0327,0.0240,0.9980,0.999
10.127003121,-0.0337,0.0274,0.9922,0.993
10.131972965,-0.0342,0.0298,0.9966,0.998
10.132610361,-0.0322,0.0255,0.9951,0.996
10.136698746,-0.0356,0.0230,0.9936,0.995
10.137367965,-0.0352,0.0289,0.9927,0.994
10.141853017,-0.0342,0.0255,0.9980,0.999
10.142357548,-0.0332,0.0269,0.9980,0.999
10.146805569,-0.0352,0.0298,0.9990,1.000
10.147612652,-0.0342,0.0294,0.9995,1.001
10.152585309,-0.0381,0.0274,0.9961,0.997
10.153309163,-0.0386,0.0294,0.9985,1.000
10.153603173,-0.0347,0.0294,0.9961,0.997
10.155977756,-0.0366,0.0323,0.9980,0.999
10.161984163,-0.0347,0.0269,0.9990,1.000
10.162761038,-0.0386,0.0279,0.9961,0.997
10.168333225,-0.0376,0.0279,0.9975,0.999
10.168845777,-0.0356,0.0294,0.9975,0.999
10.17312135,-0.0361,0.0323,1.0019,1.003
10.174889215,-0.0405,0.0269,1.0024,1.004
10.182268069,-0.0366,0.0279,1.0058,1.007
10.183892861,-0.0352,0.0269,1.0019,1.003
10.18475135,-0.0347,0.0264,1.0034,1.004
10.185357288,-0.0366,0.0269,1.0019,1.003
10.185899736,-0.0371,0.0308,1.0068,1.008
10.186473069,-0.0356,0.0274,1.0019,1.003
10.191417184,-0.0356,0.0264,1.0014,1.002
10.1927776,-0.0347,0.0259,1.0010,1.002
10.197774631,-0.0308,0.0240,1.0014,1.002
10.19818484,-0.0356,0.0264,1.0054,1.006
10.205185152,-0.0317,0.0250,1.0063,1.007
10.205836611,-0.0313,0.0245,1.0054,1.006
10.208653694,-0.0322,0.0220,1.0083,1.009
10.208984736,-0.0317,0.0220,1.0029,1.004
10.209179788,-0.0332,0.0215,1.0029,1.004
10.214317704,-0.0298,0.0245,1.0063,1.007
10.216904631,-0.0327,0.0240,1.0049,1.006
10.217221767,-0.0332,0.0235,1.0044,1.005
10.222474475,-0.0322,0.0250,1.0058,1.007
10.222940517,-0.0317,0.0215,1.0039,1.005
10.227193434,-0.0332,0.0259,1.0029,1.004
10.228551715,-0.0298,0.0264,1.0039,1.005
10.231873486,-0.0327,0.0279,1.0000,1.001
10.232554684,-0.0313,0.0298,1.0029,1.004
10.236750048,-0.0298,0.0279,1.0024,1.003
10.237153277,-0.0347,0.0289,0.9966,0.998
10.24184359,-0.0347,0.0250,1.0019,1.003
10.24209109,-0.0352,0.0279,1.0019,1.003
10.242229892,-0.0356,0.0318,0.9995,1.001
10.24789734,-0.0381,0.0279,0.9961,0.997
10.251937236,-0.0356,0.0284,0.9961,0.997
10.252976454,-0.0347,0.0303,0.9941,0.995
10.258344996,-0.0366,0.0352,0.9931,0.994
10.258857965,-0.0356,0.0342,0.9985,1.000
10.263243173,-0.0366,0.0323,0.9956,0.997
10.2641051,-0.0376,0.0333,0.9946,0.996
10.268487496,-0.0332,0.0274,0.9985,0.999
10.269200152,-0.0361,0.0308,0.9946,0.996
10.271789423,-0.0347,0.0318,0.9956,0.997
10.272246975,-0.0371,0.0308,0.9956,0.997
10.278261871,-0.0356,0.0347,0.9956,0.997
10.279049371,-0.0347,0.0298,0.9975,0.999
10.279364736,-0.0327,0.0308,0.9995,1.001
10.282969423,-0.0332,0.0303,1.0010,1.002
10.287425152,-0.0356,0.0294,0.9971,0.998
10.289067079,-0.0332,0.0264,1.0000,1.001
10.2988801,-0.0347,0.0220,1.0005,1.001
10.300566142,-0.0317,0.0279,1.0019,1.003
10.301522392,-0.0342,0.0250,1.0010,1.002
10.301946194,-0.0288,0.0215,1.0014,1.002
10.302320725,-0.0293,0.0269,1.0005,1.001
10.302756506,-0.0283,0.0274,0.9961,0.997
10.313723277,-0.0278,0.0240,0.9971,0.998
10.31428859,-0.0303,0.0240,0.9971,0.998
10.314492444,-0.0278,0.0201,1.0019,1.003
10.314627444,-0.0322,0.0181,0.9985,0.999
10.317905465,-0.0342,0.0225,1.0000,1.001
10.318206558,-0.0337,0.0196,0.9985,0.999
10.322513381,-0.0356,0.0201,0.9990,1.000
10.323102131,-0.0366,0.0211,0.9931,0.994
10.327324788,-0.0352,0.0191,0.9946,0.995
10.328247756,-0.0347,0.0245,0.9980,0.999
10.333543798,-0.0371,0.0196,0.9980,0.999
10.334065621,-0.0327,0.0196,1.0014,1.002
10.334351402,-0.0347,0.0206,1.0005,1.001
10.337409527,-0.0371,0.0235,0.9990,1.000
10.342853538,-0.0352,0.0255,1.0039,1.005
10.343305204,-0.0371,0.0215,1.0000,1.001
10.348225256,-0.0391,0.0259,1.0019,1.003
10.349009944,-0.0410,0.0279,1.0063,1.008
10.353176194,-0.0391,0.0289,1.0054,1.007
10.353977548,-0.0381,0.0298,1.0063,1.007
10.354279423,-0.0405,0.0289,1.0078,1.009
10.358291506,-0.0415,0.0298,1.0102,1.012
10.362027288,-0.0366,0.0342,1.0137,1.015
10.362803746,-0.0400,0.0338,1.0068,1.008
10.367989058,-0.0415,0.0338,1.0132,1.015
10.368457027,-0.0386,0.0367,1.0102,1.012
10.372456871,-0.0381,0.0372,1.0127,1.014
10.373555048,-0.0415,0.0372,1.0112,1.013
10.377347652,-0.0376,0.0382,1.0127,1.014
10.378285048,-0.0356,0.0377,1.0146,1.016
10.383234736,-0.0352,0.0328,1.0117,1.013
10.383691558,-0.0361,0.0328,1.0137,1.015
10.389160204,-0.0366,0.0357,1.0107,1.012
10.390354736,-0.0332,0.0357,1.0107,1.012
10.394720986,-0.0313,0.0294,1.0112,1.012
10.395463694,-0.0342,0.0338,1.0097,1.011
10.404192548,-0.0317,0.0362,1.0068,1.008
10.40552734,-0.0352,0.0362,1.0049,1.006
10.406035777,-0.0313,0.0401,1.0068,1.008
10.406476715,-0.0298,0.0357,1.0044,1.005
10.410406611,-0.0269,0.0347,0.9990,1.000
10.410968225,-0.0298,0.0308,1.0039,1.005
10.418404058,-0.0288,0.0342,1.0019,1.003
10.418898329,-0.0278,0.0362,0.9961,0.997
10.419085048,-0.0298,0.0328,0.9980,0.999
10.41924359,-0.0293,0.0308,0.9961,0.997
10.423428642,-0.0327,0.0333,0.9917,0.993
10.423873277,-0.0337,0.0377,0.9912,0.992
10.424048121,-0.0317,0.0328,0.9922,0.993
10.427526298,-0.0327,0.0328,0.9892,0.990
10.433059475,-0.0337,0.0303,0.9868,0.988
10.433469996,-0.0322,0.0313,0.9863,0.987
10.439615725,-0.0347,0.0279,0.9824,0.983
10.440595986,-0.0352,0.0323,0.9829,0.984
10.443201194,-0.0371,0.0294,0.9824,0.984
10.444125777,-0.0313,0.0279,0.9795,0.980
10.449293746,-0.0352,0.0259,0.9814,0.982
10.449787392,-0.0376,0.0274,0.9824,0.984
10.453967756,-0.0352,0.0264,0.9819,0.983
10.454754996,-0.0366,0.0264,0.9770,0.978
10.455067131,-0.0322,0.0240,0.9809,0.982
10.458908746,-0.0337,0.0235,0.9800,0.981
10.464766767,-0.0366,0.0255,0.9844,0.985
10.4656926,-0.0342,0.0201,0.9819,0.983
10.468886767,-0.0371,0.0250,0.9873,0.988
10.46966484,-0.0313,0.0206,0.9897,0.990
10.472737704,-0.0356,0.0215,0.9887,0.990
10.473123329,-0.0366,0.0176,0.9912,0.992
10.478414371,-0.0366,0.0201,0.9961,0.997
10.480196506,-0.0386,0.0215,0.9985,0.999
10.483165829,-0.0381,0.0240,0.9995,1.001
10.484384058,-0.0376,0.0235,0.9975,0.999
10.484811819,-0.0366,0.0215,1.0000,1.001
10.489453433,-0.0356,0.0196,1.0024,1.003
10.493712392,-0.0317,0.0230,0.9990,1.000
10.494719215,-0.0347,0.0240,1.0039,1.005
10.498340048,-0.0366,0.0220,1.0034,1.004
10.499054006,-0.0356,0.0230,1.0044,1.005
10.499445881,-0.0366,0.0206,1.0054,1.006
10.507160881,-0.0298,0.0255,1.0044,1.005
10.509917131,-0.0317,0.0259,1.0029,1.004
10.510479996,-0.0313,0.0303,1.0097,1.011
10.522583329,-0.0332,0.0289,1.0063,1.007
10.523179735,-0.0347,0.0298,1.0083,1.009
10.523440829,-0.0322,0.0284,1.0044,1.005
10.523739944,-0.0298,0.0303,1.0063,1.007
10.523990777,-0.0298,0.0294,1.0083,1.009
10.524210152,-0.0313,0.0323,1.0058,1.007
10.528815152,-0.0313,0.0362,1.0024,1.004
10.529401715,-0.0283,0.0367,1.0029,1.004
10.52955385,-0.0342,0.0367,1.0029,1.004
10.534546298,-0.0283,0.0323,1.0010,1.002
10.538862027,-0.0313,0.0357,0.9956,0.997
10.539457496,-0.0317,0.0372,0.9966,0.998
10.544369215,-0.0317,0.0357,1.0010,1.002
10.544886194,-0.0278,0.0421,0.9946,0.996
10.549520048,-0.0317,0.0396,0.9946,0.996
10.549986975,-0.0293,0.0396,0.9912,0.992
10.550276975,-0.0313,0.0372,0.9917,0.993
10.55392984,-0.0332,0.0382,0.9946,0.996
10.559946506,-0.0303,0.0406,0.9951,0.996
10.560483433,-0.0313,0.0391,0.9927,0.994
10.563518954,-0.0317,0.0386,0.9917,0.993
10.564459944,-0.0313,0.0367,0.9956,0.997
10.570086506,-0.0278,0.0401,0.9922,0.993
10.570837235,-0.0288,0.0372,0.9951,0.996
10.571173381,-0.0308,0.0377,0.9951,0.996
10.573225673,-0.0313,0.0386,0.9951,0.996
10.57882635,-0.0322,0.0367,0.9966,0.998
10.579608017,-0.0293,0.0377,0.9975,0.999
10.583895621,-0.0317,0.0401,0.9956,0.997
10.584397079,-0.0366,0.0342,0.9975,0.999
10.588714215,-0.0322,0.0338,0.9990,1.000
10.589937079,-0.0356,0.0338,1.0034,1.005
10.590656715,-0.0347,0.0294,1.0005,1.001
10.594743746,-0.0332,0.0313,1.0014,1.002
10.602445204,-0.0342,0.0303,1.0010,1.002
10.60361161,-0.0337,0.0255,1.0063,1.007
10.605869892,-0.0361,0.0255,1.0029,1.004
10.606166454,-0.0352,0.0274,1.0029,1.004
10.608836663,-0.0347,0.0235,1.0034,1.004
10.60921286,-0.0361,0.0255,1.0034,1.004
10.609436142,-0.0327,0.0235,1.0049,1.006
10.615572079,-0.0347,0.0215,1.0049,1.006
10.618807392,-0.0337,0.0225,1.0019,1.003
10.619335933,-0.0337,0.0186,1.0005,1.001
10.624673433,-0.0347,0.0206,1.0024,1.003
10.624966402,-0.0352,0.0201,1.0029,1.004
10.629893746,-0.0356,0.0172,1.0058,1.007
10.630529371,-0.0376,0.0186,0.9980,0.999
10.634237756,-0.0352,0.0196,1.0019,1.003
10.63464411,-0.0366,0.0225,0.9966,0.997
10.634866819,-0.0361,0.0245,0.9990,1.000
10.638390048,-0.0356,0.0230,0.9971,0.998
10.646172131,-0.0347,0.0250,0.9975,0.998
10.647004631,-0.0347,0.0250,0.9971,0.998
10.650356663,-0.0381,0.0274,1.0010,1.002
10.650908225,-0.0337,0.0264,0.9956,0.997
10.654575725,-0.0342,0.0303,0.9961,0.997
10.65538536,-0.0352,0.0259,0.9980,0.999
10.655972496,-0.0342,0.0338,1.0019,1.003
10.658140308,-0.0361,0.0328,0.9961,0.997
10.663821038,-0.0337,0.0308,0.9975,0.999
10.664805204,-0.0327,0.0284,1.0024,1.003
10.668841923,-0.0347,0.0323,1.0014,1.003
10.670230985,-0.0313,0.0323,0.9961,0.997
10.673573538,-0.0308,0.0323,1.0024,1.003
10.674134006,-0.0313,0.0289,1.0005,1.001
10.67960609,-0.0308,0.0333,1.0039,1.005
10.680738537,-0.0308,0.0328,1.0039,1.005
10.685291246,-0.0337,0.0318,1.0034,1.004
10.686537235,-0.0342,0.0298,1.0029,1.004
10.687097912,-0.0322,0.0342,1.0005,1.002
10.689463381,-0.0361,0.0279,1.0039,1.005
10.694303121,-0.0327,0.0313,1.0078,1.009
10.695079892,-0.0376,0.0308,1.0054,1.007
10.698882704,-0.0376,0.0303,1.0078,1.009
10.699831298,-0.0342,0.0284,1.0068,1.008
10.70978885,-0.0361,0.0298,1.0005,1.002
10.710203433,-0.0337,0.0274,1.0088,1.010
10.710381975,-0.0376,0.0289,1.0088,1.010
10.710564527,-0.0352,0.0294,1.0088,1.010
10.71535161,-0.0332,0.0245,1.0088,1.010
10.715821037,-0.0376,0.0279,1.0117,1.013
10.720074892,-0.0337,0.0294,1.0049,1.006
10.720571402,-0.0347,0.0274,1.0097,1.011
10.720748381,-0.0327,0.0259,1.0063,1.007
10.723550621,-0.0337,0.0250,1.0000,1.001
10.728843329,-0.0352,0.0264,1.0039,1.005
10.729267652,-0.0381,0.0245,0.9995,1.001
10.734433954,-0.0381,0.0279,1.0019,1.003
10.734791871,-0.0322,0.0289,0.9971,0.998
10.739388798,-0.0352,0.0279,0.9966,0.998
10.740392756,-0.0356,0.0269,0.9936,0.995
10.740753642,-0.0376,0.0250,0.9975,0.999
10.744650777,-0.0386,0.0298,0.9951,0.996
10.749528954,-0.0371,0.0279,0.9966,0.998
10.749870725,-0.0342,0.0284,0.9966,0.998
10.754375152,-0.0337,0.0308,0.9922,0.993
10.75494135,-0.0337,0.0323,0.9985,1.000
10.759806558,-0.0352,0.0318,0.9985,1.000
10.760349423,-0.0371,0.0303,0.9956,0.997
10.76522036,-0.0337,0.0289,0.9975,0.999
10.765546454,-0.0371,0.0294,0.9971,0.998
10.769495412,-0.0361,0.0289,0.9985,1.000
10.770153537,-0.0361,0.0279,0.9966,0.998
10.770354267,-0.0313,0.0313,0.9995,1.000
10.775015308,-0.0400,0.0313,1.0044,1.006
10.779156037,-0.0361,0.0338,0.9975,0.999
10.780017183,-0.0386,0.0333,0.9995,1.001
10.785566194,-0.0371,0.0328,1.0039,1.005
10.786350777,-0.0381,0.0323,1.0054,1.007
10.790185308,-0.0381,0.0352,1.0039,1.005
10.790644787,-0.0332,0.0298,1.0029,1.004
10.794330881,-0.0356,0.0303,0.9990,1.000
10.794839683,-0.0332,0.0338,1.0010,1.002
10.795526506,-0.0332,0.0338,1.0034,1.005
10.799065829,-0.0293,0.0294,1.0019,1.003
10.808236715,-0.0322,0.0323,0.9995,1.001
10.809532965,-0.0347,0.0308,1.0019,1.003
10.810156037,-0.0356,0.0318,1.0029,1.004
10.810593537,-0.0322,0.0328,1.0024,1.003
10.815466402,-0.0327,0.0328,1.0044,1.005
10.81633734,-0.0342,0.0323,1.0014,1.003
10.824768381,-0.0337,0.0313,1.0029,1.004
10.825316975,-0.0327,0.0313,1.0000,1.001
10.825563277,-0.0317,0.0289,0.9995,1.000
10.825732965,-0.0337,0.0338,0.9995,1.001
10.830283694,-0.0322,0.0323,1.0014,1.002
10.830611246,-0.0332,0.0308,0.9990,1.000
10.830784267,-0.0288,0.0289,0.9980,0.999
10.834510933,-0.0322,0.0323,1.0000,1.001
10.839810412,-0.0317,0.0333,0.9975,0.999
10.840414683,-0.0342,0.0308,0.9995,1.001
10.844388173,-0.0327,0.0333,0.9975,0.999
10.844920308,-0.0317,0.0289,0.9980,0.999
10.850445881,-0.0313,0.0289,0.9956,0.996
10.850717027,-0.0342,0.0328,0.9951,0.996
10.850866558,-0.0356,0.0357,0.9980,0.999
10.854709006,-0.0308,0.0323,0.9946,0.996
10.860975881,-0.0322,0.0333,0.9892,0.990
10.861795829,-0.0322,0.0313,0.9971,0.998
10.8657251,-0.0288,0.0352,0.9975,0.999
10.866177756,-0.0322,0.0352,1.0005,1.002
10.870817808,-0.0322,0.0318,0.9985,1.000
10.871729579,-0.0322,0.0313,0.9980,0.999
10.876159423,-0.0352,0.0338,0.9961,0.997
10.877447965,-0.0317,0.0347,0.9985,1.000
10.878487183,-0.0308,0.0357,1.0000,1.001
10.882728121,-0.0298,0.0352,1.0005,1.002
10.888952235,-0.0327,0.0318,1.0000,1.001
10.889435621,-0.0327,0.0362,1.0000,1.001
10.890246923,-0.0308,0.0318,0.9980,0.999
10.890843642,-0.0322,0.0338,1.0014,1.003
10.894811662,-0.0352,0.0342,1.0024,1.004
10.895787079,-0.0342,0.0318,0.9975,0.999
10.900568329,-0.0361,0.0323,0.9961,0.997
10.90121135,-0.0337,0.0318,0.9966,0.998
10.911118694,-0.0327,0.0328,0.9995,1.001
10.911863694,-0.0322,0.0303,1.0024,1.003
10.912108277,-0.0342,0.0294,0.9971,0.998
10.912284944,-0.0337,0.0289,1.0010,1.002
10.916577079,-0.0332,0.0333,1.0000,1.001
10.916923746,-0.0337,0.0279,1.0000,1.001
10.929066506,-0.0322,0.0294,0.9946,0.996
10.929559006,-0.0317,0.0289,0.9980,0.999
10.9297901,-0.0327,0.0269,0.9966,0.997
10.92997536,-0.0356,0.0259,0.9946,0.996
10.930133069,-0.0327,0.0308,1.0014,1.002
10.930286298,-0.0327,0.0274,0.9971,0.998
10.93042161,-0.0342,0.0279,1.0024,1.003
10.936190673,-0.0313,0.0303,0.9971,0.998
10.941492339,-0.0337,0.0328,0.9990,1.000
10.941973017,-0.0303,0.0308,1.0005,1.001
10.945395621,-0.0371,0.0289,0.9995,1.001
10.946134214,-0.0303,0.0274,0.9975,0.998
10.950982183,-0.0322,0.0303,0.9990,1.000
10.951474214,-0.0337,0.0303,0.9990,1.000
10.951954214,-0.0356,0.0333,0.9961,0.997
10.956479058,-0.0376,0.0362,1.0000,1.001
10.960893277,-0.0322,0.0342,0.9985,1.000
10.961672496,-0.0322,0.0342,0.9980,0.999
10.966527027,-0.0327,0.0342,0.9971,0.998
10.967023537,-0.0352,0.0308,0.9971,0.998
10.970413069,-0.0322,0.0338,0.9971,0.998
10.971148746,-0.0361,0.0347,1.0019,1.003
10.976179944,-0.0322,0.0338,1.0000,1.001
10.976657027,-0.0332,0.0342,0.9980,0.999
10.981157339,-0.0332,0.0303,1.0010,1.002
10.981934058,-0.0347,0.0362,1.0000,1.001
10.982270881,-0.0337,0.0294,0.9975,0.999
10.986456558,-0.0327,0.0308,1.0019,1.003
10.990637131,-0.0313,0.0318,1.0010,1.002
10.991604579,-0.0303,0.0338,1.0019,1.003
10.995430829,-0.0322,0.0274,1.0063,1.007
10.996450256,-0.0337,0.0313,1.0054,1.006
11.000631454,-0.0347,0.0313,1.0010,1.002
11.001401194,-0.0347,0.0298,1.0049,1.006
11.001792339,-0.0356,0.0313,1.0083,1.009
11.009035673,-0.0327,0.0255,1.0029,1.004
11.013931298,-0.0342,0.0323,1.0054,1.006
11.014163277,-0.0356,0.0279,1.0039,1.005
11.016204787,-0.0391,0.0308,1.0000,1.001
11.016540985,-0.0386,0.0298,1.0005,1.002
11.016718954,-0.0366,0.0259,1.0034,1.004
11.026856975,-0.0332,0.0284,1.0019,1.003
11.027422548,-0.0356,0.0342,1.0014,1.003
11.027818017,-0.0356,0.0298,1.0005,1.002
11.030265048,-0.0337,0.0318,1.0005,1.002
11.030593746,-0.0322,0.0333,1.0024,1.003
11.035143433,-0.0337,0.0308,1.0039,1.005
11.035623329,-0.0342,0.0333,0.9966,0.998
11.041408798,-0.0308,0.0303,0.9956,0.997
11.041758954,-0.0322,0.0347,0.9985,1.000
11.046376662,-0.0347,0.0318,0.9951,0.996
11.047196246,-0.0327,0.0294,1.0005,1.001
11.050988277,-0.0298,0.0377,0.9975,0.999
11.051468381,-0.0337,0.0362,0.9966,0.998
11.057333954,-0.0293,0.0347,0.9941,0.995
